File,Window_Sec,Window_Index,Binarization,LZC_Normalized,LZC_Custom,Variance,SNR,Binary_Balance
P001-1-trimmed.mat,90,4,adaptive,0.01086252992595043,9.698687433884313e-05,0.08497216,-4.570786,0.45659444444444447
P001-1-trimmed.mat,120,0,median,0.005287332985413387,7.446947866779418e-05,0.35723358,-1.1176516,0.49995
P001-1-trimmed.mat,120,0,mean,0.003946882369393092,7.446947866779418e-05,0.35723358,-1.1176516,0.46434166666666665
P001-1-trimmed.mat,120,0,adaptive,0.004468168720067651,7.446947866779418e-05,0.35723358,-1.1176516,0.4553625
P001-1-trimmed.mat,120,1,median,0.006553314122765888,7.446947866779418e-05,0.39970762,-0.77857643,0.4999166666666667
P001-1-trimmed.mat,120,1,mean,0.007223539430776036,7.446947866779418e-05,0.39970762,-0.77857643,0.6068625
P001-1-trimmed.mat,120,1,adaptive,0.010798074406830156,7.446947866779418e-05,0.39970762,-0.77857643,0.5773375
P001-1-trimmed.mat,120,2,median,0.014744956776223249,7.446947866779418e-05,0.072407946,-4.7099752,0.49998333333333334
P001-1-trimmed.mat,120,2,mean,0.017574796965599427,7.446947866779418e-05,0.072407946,-4.7099752,0.5345541666666667
P001-1-trimmed.mat,120,2,adaptive,0.014893895733558836,7.446947866779418e-05,0.072407946,-4.7099752,0.5087
P001-1-trimmed.mat,120,3,median,0.007446947866779418,7.446947866779418e-05,0.435975,-1.136475,0.49995833333333334
P001-1-trimmed.mat,120,3,mean,0.0064043751654303,7.446947866779418e-05,0.435975,-1.136475,0.5045375
P001-1-trimmed.mat,120,3,adaptive,0.010202318577487803,7.446947866779418e-05,0.435975,-1.136475,0.4792708333333333
P001-1-trimmed.mat,120,4,median,0.009755501705481038,7.446947866779418e-05,0.09755296,-4.0283103,0.4998458333333333
P001-1-trimmed.mat,120,4,mean,0.009532093269477656,7.446947866779418e-05,0.09755296,-4.0283103,0.49871666666666664
P001-1-trimmed.mat,120,4,adaptive,0.008563990046796331,7.446947866779418e-05,0.09755296,-4.0283103,0.48654166666666665
P001-1-trimmed.mat,180,0,median,0.013022888596588632,5.127121494719934e-05,0.3396024,-1.782077,0.49991944444444447
P001-1-trimmed.mat,180,0,mean,0.011843650652803048,5.127121494719934e-05,0.3396024,-1.782077,0.4763777777777778
P001-1-trimmed.mat,180,0,adaptive,0.025174166539074876,5.127121494719934e-05,0.3396024,-1.782077,0.4141972222222222
P001-1-trimmed.mat,180,1,median,0.1802695917543529,5.127121494719934e-05,0.17844161,-0.4269313,0.4996333333333333
P001-1-trimmed.mat,180,1,mean,0.004819494205036738,5.127121494719934e-05,0.17844161,-0.4269313,0.7687527777777777
P001-1-trimmed.mat,180,1,adaptive,0.006716529158083114,5.127121494719934e-05,0.17844161,-0.4269313,0.7564916666666667
P001-1-trimmed.mat,180,2,median,0.1799619644646697,5.127121494719934e-05,0.18054676,-0.43159258,0.4985611111111111
P001-1-trimmed.mat,180,2,mean,0.00461440934524794,5.127121494719934e-05,0.18054676,-0.43159258,0.7661916666666667
P001-1-trimmed.mat,180,2,adaptive,0.006050003363769522,5.127121494719934e-05,0.18054676,-0.43159258,0.7544611111111111
P001-1-trimmed.mat,180,3,median,0.010561870279123064,5.127121494719934e-05,0.09253771,-4.179075,0.49990555555555555
P001-1-trimmed.mat,180,3,mean,0.01020297177449267,5.127121494719934e-05,0.09253771,-4.179075,0.4971027777777778
P001-1-trimmed.mat,180,3,adaptive,0.009023733830707084,5.127121494719934e-05,0.09253771,-4.179075,0.48380833333333334
P001-1-trimmed.mat,180,4,median,0.010408056634281466,5.127121494719934e-05,0.09193582,-4.195504,0.4999972222222222
P001-1-trimmed.mat,180,4,mean,0.01004915812965107,5.127121494719934e-05,0.09193582,-4.195504,0.49726944444444443
P001-1-trimmed.mat,180,4,adaptive,0.00861356411112949,5.127121494719934e-05,0.09193582,-4.195504,0.4840027777777778
P001-1-trimmed.mat,240,0,median,0.010458607329483293,3.9318072667230427e-05,0.09441498,-4.2006145,0.49987291666666667
P001-1-trimmed.mat,240,0,mean,0.01002610853014376,3.9318072667230427e-05,0.09441498,-4.2006145,0.4872125
P001-1-trimmed.mat,240,0,adaptive,0.01006542660281099,3.9318072667230427e-05,0.09441498,-4.2006145,0.47216458333333333
P001-1-trimmed.mat,240,1,median,0.014115188087535722,3.9318072667230427e-05,0.08055254,-4.545134,0.4999354166666667
P001-1-trimmed.mat,240,1,mean,0.014193824232870184,3.9318072667230427e-05,0.08055254,-4.545134,0.5162416666666667
P001-1-trimmed.mat,240,1,adaptive,0.0130536001255205,3.9318072667230427e-05,0.08055254,-4.545134,0.4936083333333333
